ID,Station_Name,OS X,OS Y,Latitude,Longitude,Zone,Postcode,Zone_original
67,Bow Church,537414,182824,51.52761517272710,-0.020499899,2,E3 3AA,2
68,Bow Road,537148,182753,51.52704176950970,-0.024359591,2,E3 4DH,2
69,Bowes Park,530299,191498,51.60724932125090,-0.119792218,3,N22 8NL,"3,4"
70,Brent Cross,523905,187927,51.57659886839310,-0.213335838,3,NW11 9UA,3
71,Brentford,517462,177864,51.487535802426800,-0.309622531,4,TW8 9LF,4
72,Brentwood,559321,193036,51.613610829903100,0.29967282145821800,7,CM14 4EW,7
73,Brimsdown,536297,196997,51.65524456622430,-0.031092277,5,EN3 7NA,5
74,Brixton,531076,175437,51.46273661697820,-0.114552097,2,SW9 8HE,2
75,Brockley,536405,175801,51.46474960336700,-0.03774825,2,SE4 2RW,2
76,Bromley North,540395,169699,51.40894234206780,0.017235451958710200,4,BR1 3NN,4
77,Bromley South,540431,168705,51.40000131982640,0.01735958,5,BR1 1LX,5
78,Bromley-by-Bow,538034,182532,51.524840183700900,-0.011682374,2,E3 3BT,"2,3"
79,Brondesbury,524718,184460,51.54526203281230,-0.202838483,2,NW6 7QL,2
80,Brondesbury Park,524202,183898,51.54032502366850,-0.210473944,2,NW6 6RP,2
81,Broxbourne,537407,207240,51.747015552729800,-0.011024084,9,EN10 7AW,9
82,Bruce Grove,533758,190115,51.59401113363420,-0.070398989,3,N17 8AD,3
83,Buckhurst Hill,541768,193957,51.62657674004730,0.046712541,5,IG9 5ET,5
84,Burnham,494007,181378,51.52350398967750,-0.646388208,9,SL1 6JT,
85,Burnt Oak,520303,190728,51.60255148173760,-0.264330708,4,HA8 0LA,4
86,Bush Hill Park,533696,195396,51.641481848544500,-0.069280412,5,EN1 1BA,5
87,Bushey,511860,195318,51.645543532577400,-0.384721533,8,WD19 4ST,8
88,Caledonian Road,530568,184899,51.54788524982810,-0.118360861,2,N7 9BA,2
89,Caledonian Road and Barnsbury,530800,184393,51.543284389381700,-0.115204856,2,N1 0SL,2
90,Cambridge Heath,534855,183250,51.53205967,-0.057203201,2,E2 7NA,2
91,Camden Road,529140,184191,51.54185100885650,-0.139203111,2,NW1 9LQ,2
92,Camden Town,528920,183976,51.53996912160410,-0.14245238,2,NW1 8NH,2
93,Canada Water,535399,179493,51.498168331250900,-0.050807121,2,SE16 7BB,2
94,Canary Wharf,537558,180153,51.50357837512890,-0.01946684,2,E14 4QS,2
95,Canning Town,539454,181350,51.51387030350510,0.008305633,3,E16 1DQ,3
96,Cannon Street,532623,180888,51.51136194370190,-0.090250526,1,EC4N 6AP,1
97,Canonbury,532355,184979,51.54818823621240,-0.092574195,2,N1 2PG,2
98,Canons Park,518208,191246,51.60765009028540,-0.294391591,5,HA8 6RN,5
99,Carpenders Park,511826,193386,51.628186088758400,-0.385829315,7,WD19 7DT,7
